stop_id,stop_code,stop_name,stop_lat,stop_lon
1800SJ01731,MANJMWDP,Village Circle,53.46698991990,-2.30275147724
1800SJ01751,MANJMWDW,Sir Matt Busby Way,53.46520455420,-2.29055292063
1800SJ01771,MANJMWGA,Trafford Road,53.46460555634,-2.28548778290
1800SJ01781,MANJMWGD,Matt Busby Way,53.46486369334,-2.29026439933
1800SJ01831,MANJMWGT,Second Avenue,53.46245145016,-2.30948194285
1800SJ01841,MANJMWGW,St Michael's,53.44227656607,-2.38242603313
1800SJ01861,MANJMWJA,Third Avenue,53.46248274404,-2.31127453535
1800SJ01871,MANJMWJD,Vale Road,53.39297650543,-2.32723265429
1800SJ01881,MANJMWJG,Praed Road,53.46254469487,-2.31507059059
1800SJ01911,MANJMWJT,Mosley Road,53.46735022077,-2.31632635685
1800SJ01931,MANJMWJW,Tenax Circle,53.47480578510,-2.32151943698
1800SJ01941,MANJMWMA,Mellors Road,53.47424542431,-2.31931555364
1800SJ01961,MANJMWMD,Carborundum,53.47114830327,-2.31445643572
1800SJ01971,MANJMWMG,Westbrook Road,53.46906255048,-2.31118713548
1800SJ02071,MANJMWPA,Village Circle,53.46681007692,-2.30278032332
1800SJ02081,MANJMWPD,John Gilbert Way,53.46598595005,-2.29808982216
1800SJ02151,MANJMWPT,Third Avenue,53.46269799258,-2.31145685471
1800SJ02161,MANJMWPW,Praed Road,53.46276172528,-2.31457515313
1800SJ02181,MANJMWTD,Queens Road,53.44625644059,-2.35394540638
1800SJ02191,MANJMWTG,Dartford Road,53.44603351720,-2.35936374439
1800SJ02201,MANJMWTJ,Roebuck Hotel,53.44367717182,-2.36572727505
1800SJ02211,MANJMWTM,Roebuck Hotel,53.44327877702,-2.36667232375
1800SJ02221,MANJMWTP,Snowden Avenue,53.44229842805,-2.36978021533
1800SJ02231,MANJMWTW,Snowden Avenue,53.44240624108,-2.36979620694
1800SJ02251,MANJPADA,Golf Club,53.44184170650,-2.37500019849
1800SJ02261,MANJPADG,Golf Club,53.44191176724,-2.37558794687
1800SJ02271,MANJPADJ,Flixton Village,53.44474269012,-2.38420970606
1800SJ02281,MANJPADM,Flixton Village,53.44454538379,-2.38407242446
1800SJ02291,MANJPADP,Irlam Road,53.44772039837,-2.38062298557
1800SJ02301,MANJPADT,Irlam Road,53.44747632188,-2.38105744396
1800SJ02311,MANJPADW,Trevor Road,53.44825993598,-2.37772183263
1800SJ02321,MANJPAGA,Trevor Road,53.44829160736,-2.37623148086
1800SJ02331,MANJPAGD,Girls High School,53.44898221953,-2.37096758842
1800SJ02341,MANJPAGJ,Girls High School,53.44886260819,-2.37185491427
1800SJ02351,MANJPAGM,Princess Road,53.44848923028,-2.36468453620
1800SJ02361,MANJPAGP,Princess Road,53.44818528251,-2.36413988422
1800SJ02371,MANJPAGT,Roseneath Road,53.44819455671,-2.35810216424
1800SJ02381,MANJPAGW,Roseneath Road,53.44835990814,-2.35691405983
1800SJ02391,MANJPAJA,Urmston Station,53.44852082557,-2.35419009836
1800SJ02401,MANJPAJD,Urmston Station,53.44837598471,-2.35453520168
1800SJ02411,MANJPAJG,Moss Vale Hotel,53.45738913418,-2.34302910904
1800SJ02421,MANJPAJM,Moss Vale Hotel,53.45719812725,-2.34381069021
1800SJ02431,MANJPAJP,Hartford Road,53.45723741516,-2.34576881395
1800SJ02441,MANJPAJT,Hartford Road,53.45710961440,-2.34644547510
1800SJ02451,MANJPAJW,Exeter Road,53.45751421112,-2.35254813050
1800SJ02461,MANJPAMA,Exeter Road,53.45751256453,-2.35310534234
1800SJ02471,MANJPAMD,Hayeswater Road,53.45707183078,-2.35923110092
1800SJ02481,MANJPAMG,Cornhill Road,53.45684215833,-2.36383749523
1800SJ02491,MANJPAMJ,Cornhill Road,53.45678029527,-2.36349058847
1800SJ02501,MANJPAMP,Bowers Avenue,53.45671691020,-2.36949893628
1800SJ02511,MANJPAMT,Bowers Avenue,53.45660783848,-2.36988954452
1800SJ02521,MANJPAMW,Woodhouse Road,53.45648298552,-2.37246368337
1800SJ02531,MANJPAPA,Davyhulme Road,53.45655188135,-2.37342811503
1800SJ02601,MANJPAPD,Calderbank Avenue,53.45786975590,-2.38859033582
1800SJ02611,MANJPAPG,Calderbank Avenue,53.45771386406,-2.38953770657
1800SJ02621,MANJPAPJ,Valley Road,53.45592100378,-2.39354220249
1800SJ02631,MANJPAPM,Valley Road,53.45497857584,-2.39312688337
1800SJ02641,MANJPAPT,Woodsend Circle,53.45327244099,-2.39261418073
1800SJ02651,MANJPAPW,Irlam Road,53.44859326108,-2.39144172684
1800SJ02661,MANJPATA,Irlam Road,53.44844095398,-2.39128975606
1800SJ02671,MANJPATD,Wibbersley Park,53.44825215655,-2.38577719801
1800SJ02681,MANJPATG,Flixton Road,53.44798701915,-2.38157394858
1800SJ02691,MANJPATJ,Wibbersley Park,53.44819283346,-2.38466245194
1800SJ02701,MANJPATM,St John's,53.44805914642,-2.39259618858
1800SJ02711,MANJPATP,Woodsend Crescent Road,53.44784941778,-2.39622293044
1800SJ02721,MANJPATW,Woodsend Crescent Road,53.44777787775,-2.39881202136
1800SJ02731,MANJPAWD,Towns Gate,53.44765386973,-2.40094890829
1800SJ02741,MANJPAWG,Roedean Gardens,53.44853007549,-2.39696706143
1800SJ02751,MANJPAWJ,Roedean Gardens,53.44883517585,-2.39712047893
1800SJ02761,MANJPAWM,Lytham Road,53.45021223214,-2.39657620121
1800SJ02771,MANJPAWP,Woodsend Clinic,53.45055428621,-2.39642881244
1800SJ02781,MANJPAWT,Woodsend Circle,53.45211842290,-2.39367266717
1800SJ02791,MANJPDAD,Woodsend Circle,53.45260084384,-2.39184000276
1800SJ02801,MANJPDAG,Lawrence Road,53.45263424358,-2.38711196003
1800SJ02811,MANJPDAJ,Lawrence Road,53.45272739302,-2.38610389002
1800SJ02821,MANJPDAM,Mardale Avenue,53.45243251230,-2.37995740043
1800SJ02831,MANJPDAP,Mardale Avenue,53.45227421627,-2.37885673015
1800SJ02841,MANJPDAT,Brook Road,53.45227583573,-2.37549874198
1800SJ02851,MANJPDAW,Brook Road,53.45219730664,-2.37474513490
1800SJ02861,MANJPDGA,Urmston Leisure Centre,53.44954158414,-2.37318589433
1800SJ02871,MANJPDGD,Trafford Gen Hosp,53.45236083389,-2.37131327488
1800SJ02881,MANJPDGJ,Trafford Gen Hosp,53.45217521312,-2.37030275073
1800SJ02891,MANJPDGM,Hall Farm Avenue,53.45302813626,-2.36478368039
1800SJ02901,MANJPDGP,Balmain Road,53.45419702831,-2.36465817329
1800SJ02911,MANJPDGT,Canterbury Road,53.45440633159,-2.36381666049
1800SJ02921,MANJPDGW,Davyhulme Circle,53.45735340898,-2.35825457297
1800SJ02931,MANJPDJA,Davyhulme Circle,53.45743579375,-2.35775828282
1800SJ02951,MANJPDJD,Bowfell Circle,53.45210169770,-2.36498655165
1800SJ02961,MANJPDJG,Bowfell Circle,53.45233723313,-2.36438623953
1800SJ02971,MANJPDJM,Roseneath Road,53.45221583778,-2.35995806570
1800SJ02981,MANJPDJP,Roseneath Road,53.45230058448,-2.35867882664
